service_id,date,exception_type
AFA25GEN-7064-Weekday-00_C29,20251225,2
AFA25GEN-7064-Weekday-00_C29,20260101,2
AFA25GEN-7064-Weekday-00_C29,20260119,2
AFA25GEN-7064-Weekday-00_C29,20260216,2
AFA25GEN-GS013-Saturday-00,20260119,1
AFA25GEN-GS013-Saturday-00,20260216,1
AFA25GEN-GS013-Sunday-00,20251127,1
AFA25GEN-GS013-Sunday-00,20251225,1
AFA25GEN-GS013-Sunday-00,20260101,1
AFA25GEN-GS022-Weekday-00,20251127,2
AFA25GEN-GS022-Weekday-00,20251225,2
AFA25GEN-GS022-Weekday-00,20260101,2
AFA25GEN-GS022-Weekday-00,20260119,2
AFA25GEN-GS022-Weekday-00,20260216,2
BFA25GEN-A047-Saturday-00_C12,20251213,2
BFA25GEN-A047-Saturday-00_C12,20260119,1
BFA25GEN-A047-Saturday-00_C12,20260216,1
BFA25GEN-A055-Sunday-00_C43,20251127,1
BFA25GEN-A055-Sunday-00_C43,20251214,2
BFA25GEN-A055-Sunday-00_C43,20251225,1
BFA25GEN-A055-Sunday-00_C43,20260101,1
BFA25GEN-A087-Weekday-00_C7,20251127,2
BFA25GEN-A087-Weekday-00_C7,20251209,2
BFA25GEN-A087-Weekday-00_C7,20251210,2
BFA25GEN-A087-Weekday-00_C7,20251211,2
BFA25GEN-A087-Weekday-00_C7,20251212,2
BFA25GEN-A087-Weekday-00_C7,20251215,2
BFA25GEN-A087-Weekday-00_C7,20251216,2
BFA25GEN-A087-Weekday-00_C7,20251217,2
BFA25GEN-A087-Weekday-00_C7,20251225,2
BFA25GEN-A087-Weekday-00_C7,20260101,2
BFA25GEN-A087-Weekday-00_C7,20260119,2
BFA25GEN-A087-Weekday-00_C7,20260216,2
BFA25GEN-B087-Weekday-00_C28,20251127,2
BFA25GEN-B087-Weekday-00_C28,20251209,2
BFA25GEN-B087-Weekday-00_C28,20251210,2
BFA25GEN-B087-Weekday-00_C28,20251211,2
BFA25GEN-B087-Weekday-00_C28,20251212,2
BFA25GEN-B087-Weekday-00_C28,20251215,2
BFA25GEN-B087-Weekday-00_C28,20251216,2
BFA25GEN-B087-Weekday-00_C28,20251217,2
BFA25GEN-B087-Weekday-00_C28,20251225,2
BFA25GEN-B087-Weekday-00_C28,20260101,2
BFA25GEN-B087-Weekday-00_C28,20260119,2
BFA25GEN-B087-Weekday-00_C28,20260216,2
BFA25GEN-C026-Saturday-00_C49,20251213,2
BFA25GEN-C026-Saturday-00_C49,20260119,1
BFA25GEN-C026-Saturday-00_C49,20260216,1
BFA25GEN-C028-Sunday-00_C51,20251127,1
BFA25GEN-C028-Sunday-00_C51,20251214,2
BFA25GEN-C028-Sunday-00_C51,20251225,1
BFA25GEN-C028-Sunday-00_C51,20260101,1
BFA25GEN-C059-Weekday-00_C59,20251127,2
BFA25GEN-C059-Weekday-00_C59,20251209,2
BFA25GEN-C059-Weekday-00_C59,20251210,2
BFA25GEN-C059-Weekday-00_C59,20251211,2
BFA25GEN-C059-Weekday-00_C59,20251212,2
BFA25GEN-C059-Weekday-00_C59,20251225,2
BFA25GEN-C059-Weekday-00_C59,20260101,2
BFA25GEN-C059-Weekday-00_C59,20260119,2
BFA25GEN-C059-Weekday-00_C59,20260216,2
BFA25GEN-D041-Saturday-00_C33,20251213,2
BFA25GEN-D041-Saturday-00_C33,20260119,1
BFA25GEN-D041-Saturday-00_C33,20260216,1
BFA25GEN-D043-Sunday-00_C25,20251127,1
BFA25GEN-D043-Sunday-00_C25,20251214,2
BFA25GEN-D043-Sunday-00_C25,20251225,1
BFA25GEN-D043-Sunday-00_C25,20260101,1
BFA25GEN-D084-Weekday-00_C54,20251127,2
BFA25GEN-D084-Weekday-00_C54,20251209,2
BFA25GEN-D084-Weekday-00_C54,20251210,2
BFA25GEN-D084-Weekday-00_C54,20251211,2
BFA25GEN-D084-Weekday-00_C54,20251212,2
BFA25GEN-D084-Weekday-00_C54,20251215,2
BFA25GEN-D084-Weekday-00_C54,20251216,2
BFA25GEN-D084-Weekday-00_C54,20251217,2
BFA25GEN-D084-Weekday-00_C54,20251225,2
BFA25GEN-D084-Weekday-00_C54,20260101,2
BFA25GEN-D084-Weekday-00_C54,20260119,2
BFA25GEN-D084-Weekday-00_C54,20260216,2
BFA25GEN-E043-Saturday-00,20260119,1
BFA25GEN-E043-Saturday-00,20260216,1
BFA25GEN-E049-Sunday-00,20251127,1
BFA25GEN-E049-Sunday-00,20251225,1
BFA25GEN-E049-Sunday-00,20260101,1
BFA25GEN-E077-Weekday-00_C48,20251127,2
BFA25GEN-E077-Weekday-00_C48,20251209,2
BFA25GEN-E077-Weekday-00_C48,20251210,2
BFA25GEN-E077-Weekday-00_C48,20251211,2
BFA25GEN-E077-Weekday-00_C48,20251212,2
BFA25GEN-E077-Weekday-00_C48,20251225,2
BFA25GEN-E077-Weekday-00_C48,20260101,2
BFA25GEN-E077-Weekday-00_C48,20260119,2
BFA25GEN-E077-Weekday-00_C48,20260216,2
BFA25GEN-F045-Saturday-00_C39,20251213,2
BFA25GEN-F045-Saturday-00_C39,20260119,1
BFA25GEN-F045-Saturday-00_C39,20260216,1
BFA25GEN-F049-Sunday-00_C32,20251127,1
BFA25GEN-F049-Sunday-00_C32,20251214,2
BFA25GEN-F049-Sunday-00_C32,20251225,1
BFA25GEN-F049-Sunday-00_C32,20260101,1
BFA25GEN-F080-Weekday-00_C14,20251127,2
BFA25GEN-F080-Weekday-00_C14,20251209,2
BFA25GEN-F080-Weekday-00_C14,20251210,2
BFA25GEN-F080-Weekday-00_C14,20251211,2
BFA25GEN-F080-Weekday-00_C14,20251212,2
BFA25GEN-F080-Weekday-00_C14,20251215,2
BFA25GEN-F080-Weekday-00_C14,20251216,2
BFA25GEN-F080-Weekday-00_C14,20251217,2
BFA25GEN-F080-Weekday-00_C14,20251225,2
BFA25GEN-F080-Weekday-00_C14,20260101,2
BFA25GEN-F080-Weekday-00_C14,20260119,2
BFA25GEN-F080-Weekday-00_C14,20260216,2
BFA25GEN-FS012-Saturday-00,20260119,1
BFA25GEN-FS012-Saturday-00,20260216,1
BFA25GEN-FS012-Weekday-00,20251127,2
BFA25GEN-FS012-Weekday-00,20251225,2
BFA25GEN-FS012-Weekday-00,20260101,2
BFA25GEN-FS012-Weekday-00,20260119,2
BFA25GEN-FS012-Weekday-00,20260216,2
BFA25GEN-FS013-Sunday-00,20251127,1
BFA25GEN-FS013-Sunday-00,20251225,1
BFA25GEN-FS013-Sunday-00,20260101,1
BFA25GEN-G038-Saturday-00,20260119,1
BFA25GEN-G038-Saturday-00,20260216,1
BFA25GEN-G039-Sunday-00_C60,20251127,1
BFA25GEN-G039-Sunday-00_C60,20251214,2
BFA25GEN-G039-Sunday-00_C60,20251225,1
BFA25GEN-G039-Sunday-00_C60,20260101,1
BFA25GEN-G056-Weekday-00_C5,20251127,2
BFA25GEN-G056-Weekday-00_C5,20251209,2
BFA25GEN-G056-Weekday-00_C5,20251210,2
BFA25GEN-G056-Weekday-00_C5,20251211,2
BFA25GEN-G056-Weekday-00_C5,20251212,2
BFA25GEN-G056-Weekday-00_C5,20251215,2
BFA25GEN-G056-Weekday-00_C5,20251216,2
BFA25GEN-G056-Weekday-00_C5,20251217,2
BFA25GEN-G056-Weekday-00_C5,20251225,2
BFA25GEN-G056-Weekday-00_C5,20260101,2
BFA25GEN-G056-Weekday-00_C5,20260119,2
BFA25GEN-G056-Weekday-00_C5,20260216,2
BFA25GEN-H026-Sunday-00_C57,20251127,1
BFA25GEN-H026-Sunday-00_C57,20251214,2
BFA25GEN-H026-Sunday-00_C57,20251225,1
BFA25GEN-H026-Sunday-00_C57,20260101,1
BFA25GEN-H027-Saturday-00,20260119,1
BFA25GEN-H027-Saturday-00,20260216,1
BFA25GEN-H043-Weekday-00_C46,20251127,2
BFA25GEN-H043-Weekday-00_C46,20251209,2
BFA25GEN-H043-Weekday-00_C46,20251210,2
BFA25GEN-H043-Weekday-00_C46,20251211,2
BFA25GEN-H043-Weekday-00_C46,20251212,2
BFA25GEN-H043-Weekday-00_C46,20251215,2
BFA25GEN-H043-Weekday-00_C46,20251216,2
BFA25GEN-H043-Weekday-00_C46,20251217,2
BFA25GEN-H043-Weekday-00_C46,20251225,2
BFA25GEN-H043-Weekday-00_C46,20260101,2
BFA25GEN-H043-Weekday-00_C46,20260119,2
BFA25GEN-H043-Weekday-00_C46,20260216,2
BFA25GEN-J034-Saturday-00_C3,20251213,2
BFA25GEN-J034-Saturday-00_C3,20260119,1
BFA25GEN-J034-Saturday-00_C3,20260216,1
BFA25GEN-J034-Sunday-00_C50,20251127,1
BFA25GEN-J034-Sunday-00_C50,20251214,2
BFA25GEN-J034-Sunday-00_C50,20251225,1
BFA25GEN-J034-Sunday-00_C50,20260101,1
BFA25GEN-J056-Weekday-00_C27,20251127,2
BFA25GEN-J056-Weekday-00_C27,20251209,2
BFA25GEN-J056-Weekday-00_C27,20251210,2
BFA25GEN-J056-Weekday-00_C27,20251211,2
BFA25GEN-J056-Weekday-00_C27,20251212,2
